Title,Year,Genre,Director,Cast,Languages,Plot
Body Snatchers,1993.0,Horror|Sci-Fi|Thriller,Abel Ferrara,"Terry Kinney,Meg Tilly,Gabrielle Anwar,Reilly Murphy,Billy Wirth",English,"When Environmental Protection Agency inspector Steve Malone travels to a remote military base in order to check for toxic materials, he brings his family along for the ride. After arriving at the base, his teenage daughter Marti befriends Jean Platt, daughter of the base's commander, General Platt. When people at the base begin acting strangely, Marti becomes convinced that they are slowly being replaced by plant-like aliens."
Relative Fear,1995.0,Horror|Thriller,George Mihalka,"Darlanne Fluegel,James Brolin,Martin Neufeld,Denise Crosby,M. Emmet Walsh",English,"Linda and Peter Pratman's son Adam is autistic, but they still love him and hope that he'll at least start talking some day. However he's teased and abused by the kids of the neighborhood and his grandpa . When several people around Adam die an unexpected death, his parents start to suspect Adam - is he just simulating to be so ignorant about his environment?"
Dear God,1996.0,Comedy,Garry Marshall,"Greg Kinnear,Laurie Metcalf,Maria Pitillo,Tim Conway,Hector Elizondo","Italiano,English","A judge gives con-man Tom Turner a choice—a jail sentence, or a year of honest work. But when he gets a job in the U.S. Post Office's dead letter office, he starts a Good Samaritan con by answering letters written to God. His seemingly virtuous work inspires his co-workers to do the same, but their good deeds are frowned upon by the postmaster general—and the cops."
Two Deaths,1996.0,Drama,Nicolas Roeg,"Sônia Braga,Patrick Malahide,Michael Gambon,Ion Caramitru,Sevilla Delofski",English,"A tale of power, passion and obsession set in a politically torn Eastern European country."
North by Northwest,1959.0,Drama|Thriller,Alfred Hitchcock,"Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,Leo G. Carroll",English,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase."
Sunset Park,1996.0,Drama,Steve Gomer,"Rhea Perlman,Fredro Starr,Carol Kane,Terrence Howard,Camille Saviola","Español,English","A school teacher takes over a talented, but undisciplined high school basketball team and turns them into a winning team."
Gridlock'd,1997.0,Crime,Vondie Curtis-Hall,"Tupac Shakur,Tim Roth,Thandiwe Newton,Charles Fleischer,Howard Hesseman",English,"After a friend overdoses, Spoon and Stretch decide to kick their drug habits and attempt to enroll in a government detox program. Their efforts are hampered by seemingly endless red tape, as they are shuffled from one office to another while being chased by drug dealers and the police."
Jane Eyre,1996.0,Drama|Romance,Franco Zeffirelli,"William Hurt,Charlotte Gainsbourg,Joan Plowright,Anna Paquin,Geraldine Chaplin","Français,English","Jane Eyre is an orphan cast out as a young girl by her aunt, Mrs. Reed, and sent to be raised in a harsh charity school for girls. There she learns to be come a teacher and eventually seeks employment outside the school. Her advertisement is answered by the housekeeper of Thornfield Hall, Mrs. Fairfax."
Under Capricorn,1949.0,Drama,Alfred Hitchcock,"Ingrid Bergman,Joseph Cotten,Michael Wilding,Margaret Leighton,Cecil Parker",English,"In 1831, Irishman Charles Adare travels to Australia to start a new life with the help of his cousin who has just been appointed governor. When he arrives he meets powerful landowner and ex-convict, Sam Flusky, who wants to do a business deal with him. Whilst attending a dinner party at Flusky's house, Charles meets Flusky's wife Henrietta who he had known as a child back in Ireland. Henrietta is an alcoholic and seems to be on the verge of madness."
Alligator,1980.0,Action|Horror|Sci-Fi,Lewis Teague,"Robert Forster,Robin Riker,Michael V. Gazzo,Dean Jagger,Sydney Lassick",English,"A baby alligator is flushed down a toilet and survives by eating discarded lab animals that have been injected with growth hormones. The now gigantic animal escapes the city sewers and goes on a rampage, pursued by a cop and a big-game hunter."
"King of Masks, The (Bian Lian)",1995.0,Drama,Wu Tianming,"Zhu Xu,Chow Yam-Ying,Chiu Liu-Kong,Cheung Shui-Yeung,Chan Lee",普通话,Wang Bianlian is an aging street performer known as the King of Mask for his mastery of Sichuan Change Art in a true story. His wife left him with and infant son over 30 years ago. The son died from illness at age 10. This left Wang a melancholy loner aching for a male descendent to learn his rare and dying art.
Another Day in Paradise,1998.0,Drama,Larry Clark,"Melanie Griffith,James Woods,Vincent Kartheiser,Natasha Gregson Wagner,James Otis",English,"In the hope of a big score, two junkie couples team up to commit various drug robberies which go disastrously wrong, leading to dissent, violence, and murder."
Drunken Master (Zui quan),1978.0,Action|Comedy,Yuen Woo-Ping,"Jackie Chan,Yuen Siu-Tien,Hwang Jang-Lee,Lam Kau,Linda Lin Ying",广州话 / 廣州話,"After being punished for getting into trouble, a mischievous young man is sent to train under a brutal, but slovenly old beggar, who teaches him the secret of the Drunken Fist."
Children of the Corn III,1995.0,Horror,James D.R. Hickox,"Daniel Cerny,Ron Melendez,Jim Metzler,Nancy Lee Grahn,Jon Clair",English,"After a couple adopts a pair of orphaned brothers, it becomes alarmingly clear the boys are much more than they seem."
"MatchMaker, The",1997.0,Comedy|Romance,Mark Joffe,"Janeane Garofalo,David O'Hara,Milo O'Shea,Jay O. Sanders,Rosaleen Linehan",English,"Marcy, a worker in the reelection campaign of bumbling Senator John McGlory, is sent to Ireland on a quest to find the Irish ancestry of Sen. McGlory, to help him win the Irish vote. But when Marcy arrives in the small village of Ballinagra, she finds herself in the middle of a matchmaking festival, and the local matchmaker is determined to pair her off with one of the local bachelors."
Iron Eagle,1986.0,Action|War,Sidney J. Furie,"Louis Gossett Jr.,Jason Gedrick,David Suchet,Tim Thomerson,Larry B. Scott",English,"When Doug's father, an Air Force Pilot, is shot down by MiGs belonging to a radical Middle Eastern state, no one seems able to get him out. Doug finds Chappy, an Air Force Colonel who is intrigued by the idea of sending in two fighters piloted by himself and Doug to rescue Doug's father after bombing the MiG base."
Price of Glory,2000.0,Drama,Carlos Ávila,"Jimmy Smits,Maria del Mar,Jon Seda,Clifton Collins Jr.,Ernesto Hernández",,"An ex-boxer, living with the knowledge that his fight career was cut short by a crooked manager, channels his bitter disappointment in a single-minded quest for boxing championships for his three sons. We see them in pee-wee Silver Glove matches with dad constantly pushing them. Ten years later, they're young men, with dad as both father and manager. A professional promoter, Nick Everson, wants to sign the boys, but dad rejects those offers. Then, in expressions of their varied relationships with their father, each son makes his own decisions. Can dad ever step aside, and can the family hold together?"
Popeye,1980.0,Adventure|Comedy|Musical,Robert Altman,"Robin Williams,Shelley Duvall,Ray Walston,Paul Dooley,Paul L. Smith",English,"Popeye is a super-strong, spinach-scarfing sailor man who's searching for his father. During a storm that wrecks his ship, Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive. Before he can win her heart, he must first contend with Olive's fiancé, Bluto."
Fair Game,1995.0,Action,Andrew Sipes,"William Baldwin,Cindy Crawford,Steven Berkoff,Christopher McDonald,Miguel Sandoval","Pусский,English","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her"
Shine,1996.0,Drama|Romance,Scott Hicks,"Armin Mueller-Stahl,Noah Taylor,Geoffrey Rush,Lynn Redgrave,Googie Withers","English,","Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim."
Fantastic Voyage,1966.0,Adventure|Sci-Fi,Richard Fleischer,"Stephen Boyd,Raquel Welch,Edmond O'Brien,Donald Pleasence,Arthur O'Connell","English,Français","In order to save an assassinated scientist, a submarine and its crew are shrunk to microscopic size and injected into his bloodstream."
Waiting to Exhale,1995.0,Comedy|Drama,Forest Whitaker,"Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines",English,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."
Grumpy Old Men,1993.0,Comedy,Donald Petrie,"Jack Lemmon,Walter Matthau,Ann-Margret,Burgess Meredith,Daryl Hannah",English,"For decades, next-door neighbors and former friends John and Max have feuded, trading insults and wicked pranks. When an attractive widow moves in nearby, their bad blood erupts into a high-stakes rivalry full of naughty jokes and adolescent hijinks."
EDtv,1999.0,Comedy,Ron Howard,"Matthew McConaughey,Woody Harrelson,Sally Kirkland,Jenna Elfman,Martin Landau",English,Video store clerk Ed agrees to have his life filmed by a camera crew for a tv network.
Labyrinth,1986.0,Adventure|Children's|Fantasy,Jim Henson,"David Bowie,Jennifer Connelly,Toby Froud,Shelley Thompson,Christopher Malcolm",English,"When teen Sarah is forced to babysit her half-brother Toby, she summons Jareth the Goblin King to take him away. When he is actually kidnapped, Sarah is given just thirteen hours to solve a labyrinth and rescue him."
Amityville 1992: It's About Time,1992.0,Horror,Tony Randel,"Stephen Macht,Shawn Weatherly,Megan Ward,Damon Martin,Jonathan Penner",English,"A hot-shot architect returns home from his latest business trip with a surprise: an ornate old clock rescued out of a soon-to-be-demolished mansion in Amityville, New York, that brings about a seemingly unstoppable demonic force."
Exotica,1994.0,Drama,Atom Egoyan,"Bruce Greenwood,Mia Kirshner,Elias Koteas,Don McKellar,Sarah Polley","עִבְרִית,English","In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's female owner. Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives."
Waking Ned Devine,1998.0,Comedy,Kirk Jones,"Ian Bannen,David Kelly,Fionnula Flanagan,Susan Lynch,Brendan Dempsey","English,Gaeilge,Latin","When a lottery winner dies of shock, his fellow townsfolk attempt to claim the money."
Armed and Dangerous,1986.0,Comedy|Crime,Mark L. Lester,"John Candy,Eugene Levy,Robert Loggia,Kenneth McMillan,Meg Ryan",English,"After policeman Frank Dooley is framed for theft and loses his job on the force, he joins a security guard agency and teams up with inept former defense lawyer Norman Kane. When the two botch a job guarding a local warehouse, they begin to uncover corruption within the company and their union."
"Big Hit, The",1998.0,Action|Comedy,Kirk Wong Chi-Keung,"Mark Wahlberg,Lou Diamond Phillips,Christina Applegate,China Chow,Avery Brooks",English,"Affable hit man Melvin Smiley is constantly being scammed by his cutthroat colleagues in the life-ending business. So, when he and his fellow assassins kidnap the daughter of an electronics mogul, it's naturally Melvin who takes the fall when their prime score turns sour. That's because the girl is the goddaughter of the gang's ruthless crime boss. But, even while dodging bullets, Melvin has to keep his real job secret from his unsuspecting fiancée, Pam."
Ridicule,1996.0,Drama,Patrice Leconte,"Charles Berling,Jean Rochefort,Fanny Ardant,Judith Godrèche,Bernard Giraudeau",Français,"To get royal backing on a needed drainage project, a poor French lord must learn to play the delicate games of wit at court at Versailles."
Mafia!,1998.0,Comedy|Crime,Jim Abrahams,"Jay Mohr,Billy Burke,Christina Applegate,Pamela Gidley,Olympia Dukakis","Italiano,English",Takeoff on the Godfather with the son of a mafia king taking over for his dying father.
Roseanna's Grave (For Roseanna),1997.0,Comedy|Romance,Paul Weiland,"Jean Reno,Mercedes Ruehl,Polly Walker,Mark Frankel,Trevor Peacock",English,"Roseanna is dying of a heart condition, and all she wants is to be buried next to her daughter, in a cemetery that is getting full fast. The cemetery can't expand because Capestro, the man who owns the land next to the cemetery, won't sell. While Marcello is doing good deeds to make sure no one dies, Roseanna thinks of Marcello's future."
"Brady Bunch Movie, The",1995.0,Comedy,Betty Thomas,"Shelley Long,Gary Cole,Christine Taylor,Christopher Daniel Barnes,Jennifer Elise Cox",English,"The original '70s TV family is now placed in the 1990s, where they're even more square and out of place than ever."
Sirens,1994.0,Comedy|Drama,John Duigan,"Hugh Grant,Tara Fitzgerald,Sam Neill,Elle Macpherson,Portia de Rossi",English,"In 1930s Australia, Anglican clergyman Anthony Campion and his prim wife, Estella, are asked to visit noted painter Norman Lindsay, whose planned contribution to an international art exhibit is considered blasphemous. While Campion and Lindsay debate, Estella finds herself drawn to the three beautiful models sitting for the painter's current work, freethinking Sheela, sensual Pru and virginal Giddy."
Persuasion,1995.0,Romance,Roger Michell,"Amanda Root,Ciarán Hinds,Susan Fleetwood,Fiona Shaw,John Woodvine",English,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne."
"Very Brady Sequel, A",1996.0,Comedy,Arlene Sanford,"Shelley Long,Gary Cole,Christopher Daniel Barnes,Christine Taylor,Paul Sutera",English,"A man claiming to be Carol Brady's long-lost first husband, Roy Martin, shows up at the suburban Brady residence one evening. An impostor, the man is actually determined to steal the Bradys' familiar horse statue, a $20-million ancient Asian artifact."
Indiana Jones and the Temple of Doom,1984.0,Action|Adventure,Steven Spielberg,"Harrison Ford,Kate Capshaw,Ke Huy Quan,Amrish Puri,Roshan Seth","普通话,English,සිංහල","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees - and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace."
Excess Baggage,1997.0,Adventure|Romance,Marco Brambilla,"Alicia Silverstone,Benicio del Toro,Christopher Walken,Jack Thompson,Harry Connick Jr.",English,"A rich brat fakes her own kidnapping, but in the process ends up locked in the trunk of a car that gets stolen."
Kika,1993.0,Drama,Pedro Almodóvar,"Verónica Forqué,Victoria Abril,Peter Coyote,Rossy de Palma,Àlex Casanovas",Español,"When American author Nicholas brings in a cosmetologist named Kika to prepare the corpse of his recently deceased son, she inadvertently revives the young man, then falls in love with him. Forces conspire against the couple, though, as Nicholas wants Kika for himself."
Foreign Correspondent,1940.0,Thriller,Alfred Hitchcock,"Joel McCrea,Laraine Day,Herbert Marshall,George Sanders,Albert Bassermann","English,Français,Deutsch,Italiano,Latviešu","American crime reporter John Jones is reassigned to Europe as a foreign correspondent to cover the imminent war. When he walks into the middle of an assassination and stumbles on a spy ring, he seeks help from a beautiful politician's daughter and an urbane English journalist to uncover the truth."
Once Upon a Time in America,1984.0,Crime|Drama|Thriller,Sergio Leone,"Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,Tuesday Weld","English,Français,עִבְרִית,Italiano,","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
"Inheritors, The (Die Siebtelbauern)",1998.0,Drama,Stefan Ruzowitzky,"Simon Schwarz,Sophie Rois,Lars Rudolph,Tilo Prückner,Ulrich Wildgruber",Deutsch,"In a small farming valley in Austria in the beginning of the 20th century a tyrannical farmer is found dead, and all the farmhands are relieved to be free of their tyrant. But the farmer was childless, so suddenly they all inherit the farm together. Now conflicts begin, as nobody is the boss and nobody has to obey."
Desert Winds,1994.0,Drama,Michael A. Nickles,"Heather Graham,Michael A. Nickles,Jack Kehler,Grace Zabriskie,Nick Searcy",English,"Jackie and Eugene are joined by a mystical wind tunnel which enables them to speak across a 500-mile desert. Believed by the Indians to be an omen of good luck, the wind inspires both characters to face their fears and follow their hearts."
"Paper Chase, The",1973.0,Drama,James Bridges,"Timothy Bottoms,Lindsay Wagner,John Houseman,Graham Beckel,James Naughton","English,Latin",A first-year law student struggles with balancing his coursework and his relationship with the daughter of a stern professor.
Death Wish II,1982.0,Action|Drama,Michael Winner,"Charles Bronson,Jill Ireland,Vincent Gardenia,J.D. Cannon,Anthony Franciosa",English,Paul Kersey is again a vigilante trying to find five punks who murdered his housekeeper and daughter in Los Angeles.
Good Will Hunting,1997.0,Drama,Gus Van Sant,"Matt Damon,Robin Williams,Ben Affleck,Stellan Skarsgård,Minnie Driver",English,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire."
All the King's Men,1949.0,Drama,Robert Rossen,"John Ireland,Broderick Crawford,Joanne Dru,John Derek,Mercedes McCambridge",English,"A man of humble beginnings and honest intentions rises to power by nefarious means. Along for the wild ride are an earnest reporter, a heretofore classy society girl, and a too-clever-for-her-own-good political flack."
Private Parts,1997.0,Comedy|Drama,Betty Thomas,"Howard Stern,Robin Quivers,Mary McCormack,Fred Norris,Paul Giamatti",English,"The auto-biographical story of Howard Stern, the radio-rebel who is now also a TV-personality, an author and a movie star."
Meet Me in St. Louis,1944.0,Musical,Vincente Minnelli,"Judy Garland,Margaret O'Brien,Mary Astor,Lucille Bremer,Leon Ames",English,The life of a St. Louis family in the year before the 1904 St. Louis World's Fair.
Raise the Red Lantern,1991.0,Drama,Zhang Yimou,"Gong Li,Ma Jingwu,He Saifei,Cao Cuifen,Kong Lin",普通话,"China in the 1920s. After her father's death, 19 year old Songlian is forced to marry the much older lord of a powerful family. With three wives already, each living in a separate house within the great castle, there is fierce competition for his attention and the privileges that are gained. This competition gets out of hand."
"Hunt for Red October, The",1990.0,Action|Thriller,John McTiernan,"Sean Connery,Alec Baldwin,Scott Glenn,Sam Neill,James Earl Jones","English,Pусский","A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!"
"Secret Agent, The",1996.0,Drama,Christopher Hampton,"Bob Hoskins,Patricia Arquette,Jim Broadbent,Christian Bale,Gérard Depardieu",English,"In 1880s London, pornographic bookseller Verloc is a double agent for the Russian government, providing information to Chief Inspector Heat about a lazy anarchist organization. In order for the anarchists to be arrested, an act of terrorism must occur. So Verloc decides to set up bombs - which leads to tragedy - not only for himself but also for his family, including wife Winnie and brother-in-law, Stevie."
Aimée & Jaguar,1999.0,Drama|Romance,Max Färberböck,"Maria Schrader,Juliane Köhler,Johanna Wokalek,Heike Makatsch,Elisabeth Degen",Deutsch,"In 1943, while the Allies are bombing Berlin and the Gestapo is purging the capital of Jews, a dangerous love affair blossoms between two women - one a Jewish member of the underground, the other an exemplar of Nazi motherhood."
"Law, The (Le Legge)",1959.0,Drama,Jules Dassin,"Gina Lollobrigida,Pierre Brasseur,Marcello Mastroianni,Melina Mercouri,Yves Montand","Français,Italiano",A gorgeous housekeeper turns the tables on the men in a small Mediterranean coastal town by using their own vicious drinking game.
For Love or Money,1993.0,Comedy,Barry Sonnenfeld,"Michael J. Fox,Gabrielle Anwar,Anthony Higgins,Fyvush Finkel,Sandra Reaves-Phillips",English,"New York concierge Doug Ireland wants to go into business for himself and refurbish a hotel on Roosevelt Island, N.Y., but he needs an investor. With a few weeks left before his option on the site runs out, Doug agrees to help wealthy Christian Hanover conceal his affair with salesgirl Andy Hart from his wife. Despite his own attraction to Andy, Doug tries to stay focused on getting Christian to invest $3 million in his project."
Native Son,1986.0,Drama,Jerrold Freedman,"Victor Love,Matt Dillon,Elizabeth McGovern,Geraldine Page,Oprah Winfrey",English,"In 1940s Chicago, a young black man takes a job as a chauffeur to a white family, which takes a turn for the worse when he accidentally kills the teenage daughter of the couple and then tries to cover it up."
August,1996.0,Drama,Anthony Hopkins,"Anthony Hopkins,Leslie Phillips,Kate Burton,Gawn Grainger,Rhian Morgan",English,"Set in 1890s North Wales over a long, hot August weekend, the Victorian calm of a household is suddenly upset with the arrival of a London couple who impose their city ways and thoughts on the more rurally based family. An adaptation of Anton Chekhov's play, ""Uncle Vanya."""
"Trouble with Harry, The",1955.0,Mystery|Thriller,Alfred Hitchcock,"John Forsythe,Shirley MacLaine,Edmund Gwenn,Mildred Natwick,Mildred Dunnock",English,"When a local man's corpse appears on a nearby hillside, no one is quite sure what happened to him. Many of the town's residents secretly wonder if they are responsible, including the man's ex-wife, Jennifer, and Capt. Albert Wiles, a retired seaman who was hunting in the woods where the body was found. As the no-nonsense sheriff gets involved and local artist Sam Marlowe offers his help, the community slowly unravels the mystery."
Saturn 3,1980.0,Adventure|Sci-Fi|Thriller,"Stanley Donen,John Barry","Farrah Fawcett,Kirk Douglas,Harvey Keitel",English,
"Bone Collector, The",1999.0,Thriller,Phillip Noyce,"Denzel Washington,Angelina Jolie,Queen Latifah,Michael Rooker,Michael McGlone",English,"Rookie cop, Amelia Donaghy reluctantly teams with Lincoln Rhyme - formerly the department's top homicide detective but now paralyzed as a result of a spinal injury - to catch a grisly serial killer dubbed 'The Bone Collector'. The murderer's special signature is to leave tantalizing clues based on the grim remains of his crimes."
"Grass Harp, The",1995.0,Drama,Charles Matthau,"Piper Laurie,Sissy Spacek,Walter Matthau,Edward Furlong,Nell Carter",English,"Based on the novel by Truman Capote, this often-witty coming-of-age drama looks at a young man growing up with an unusual family in the Deep South in the 1940s. Becoming an orphan in 1935, Collin moves to his dad's cousins Verena and Dolly. Verena is a rich, bossy businesswoman. Dolly, Collin and the maid revolt, moving to a tree house."
Trust,1991.0,Comedy|Drama,Hal Hartley,"Adrienne Shelly,Martin Donovan,Rebecca Nelson,John MacKay,Edie Falco",English,"After being thrown away from home, pregnant high school dropout Maria meets Matthew, a highly educated and extremely moody electronics repairman. The two begin an unusual romance built on their sense of mutual admiration and trust."
Ever After: A Cinderella Story,1998.0,Drama|Romance,Andy Tennant,"Drew Barrymore,Anjelica Huston,Dougray Scott,Patrick Godfrey,Megan Dodds",English,"Orphaned as a child, Danielle is treated like a servant by her wicked stepmother and two stepsisters. When she stumbles onto Prince Henry, who's fleeing an arranged marriage, the two inspire each other to resolve their respective troubles."
G. I. Blues,1960.0,Musical,Norman Taurog,"Elvis Presley,Juliet Prowse,Robert Ivers,James Douglas,Letícia Román",English,"Stationed in West Germany, soldier Tulsa McLean hopes to open up a nightclub when he gets out of the army. Tulsa may lack the capital for such a venture, but a chance to raise the cash comes his way through a friendly wager. Local dancer Lili (Juliet Prowse) is a notorious ice queen, and Tulsa bets everything he has that a friend of his can earn her affections. But, when that friend is dispatched to Alaska, it's up to Tulsa to melt Lili's heart."
Pump Up the Volume,1990.0,Drama,Allan Moyle,"Christian Slater,Samantha Mathis,Annie Ross,Scott Paulin,Mimi Kennedy",English,"Mark Hunter, a lonely high school student, uses his shortwave radio to moonlight as the popular pirate DJ ""Hard Harry."" When his show gets blamed for a teen committing suicide, the students clash with high school faculty and the authorities."
Hellbound: Hellraiser II,1988.0,Horror,Tony Randel,"Ashley Laurence,Clare Higgins,Kenneth Cranham,Imogen Boorman,William Hope",English,"Doctor Channard is sent a new patient, a girl warning of the terrible creatures that have destroyed her family, Cenobites who offer the most intense sensations of pleasure and pain. But Channard has been searching for the doorway to Hell for years, and Kirsty must follow him to save her father and witness the power struggles among the newly damned."
Romance,1999.0,Drama|Romance,Catherine Breillat,"Caroline Ducey,Sagamore Stévenin,François Berléand,Rocco Siffredi,Reza Habouhossein","English,Français",A young woman frustrated by her boyfriend's lack of interest in sexual activity becomes involved with multiple men.
Beyond Bedlam,1994.0,Drama|Horror,Vadim Jean,"Elizabeth Hurley,Craig Fairbrass,Keith Allen,Jesse Birdsall,Craig Kelly",English,An experiment gone awry places a neurologist (Elizabeth Hurley) and a homicide detective (Craig Fairbrass) in a psychopath's (Keith Allen) nightmarish world.
"Farewell to Arms, A",1932.0,Romance|War,Frank Borzage,"Helen Hayes,Gary Cooper,Adolphe Menjou,Mary Philips,Jack La Rue",English,"A tale of the World War I love affair, begun in Italy, between American ambulance driver Lt. Frederic Henry and British nurse Catherine Barkley. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each as the war rages on."
"Reluctant Debutante, The",1958.0,Comedy|Drama,Vincente Minnelli,"Rex Harrison,Kay Kendall,John Saxon,Sandra Dee,Angela Lansbury","Italiano,English","Jimmy and Sheila Broadbent, welcome to London Jimmy's 17-year-old daughter, Jane. Jane is from Jimmy's first marriage to an American and has come to visit her father and the step-mother she has never met. While visiting Sheila has the idea of making Jane a debutante, an idea Jane resists. Difficulties range from Jane's apathy to being placed on the marriage block, the determined efforts of Sheila's cousin, Mabel Claremont, to win wealthy David Fenner for her debutante daughter Clarissa, and Jane's attraction to David Parkson, an American drummer who plays in the orchestra at the coming-out balls."
