MovielensID,Title,Year,Genre,Director,Cast,Runtime,Languages,Certificate,Plot,Url
2889,"Mystery, Alaska",1999,Comedy,Jay Roach,"Russell Crowe,Hank Azaria,Mary McCormack,Burt Reynolds,Lolita Davidovich",119 minutes,English,R,"In Mystery, Alaska, life revolves around the legendary Saturday hockey game at the local pond. But everything changes when the hometown team unexpectedly gets booked in an exhibition match against the New York Rangers. When quirky small-towners, slick promoters and millionaire athletes come together.",https://movielens.org/movies/2889
211,"Browning Version, The",1994,Drama,Mike Figgis,"Albert Finney,Greta Scacchi,Matthew Modine,Julian Sands,Michael Gambon",97 minutes,"Français,Latin,ελληνικά,English",R,"Andrew Crocker-Harris is an embittered and disliked teacher of Greek and Latin at a British prep school. After nearly 20 years of service, he is being forced to retire for 'health reasons', and perhaps may not even be given a pension. The boys regard him as a Hitler, with some justification. His unfaithful wife Laura tries to hurt him in any way she can. Andrew must come to terms with his failed life and at least regain his own self-esteem.",https://movielens.org/movies/211
1548,"War at Home, The",1996,Drama,Emilio Estevez,"Emilio Estevez,Kathy Bates,Martin Sheen,Kimberly Williams-Paisley,Carla Gugino",119 minutes,English,R,"Jeremy Collier is a Vietnam veteran who has returned home and is struggling to cope with the war experiences that haunt him. He is also at odds with his family, who cannot begin to understand what he has been through. Jeremy's battles with his family finally spiral out of control on Thanksgiving Day, when a bitter secret is revealed",https://movielens.org/movies/1548
3190,Supernova,2000,Adventure|Sci-Fi,Walter Hill,"James Spader,Angela Bassett,Robert Forster,Lou Diamond Phillips,Peter Facinelli",91 minutes,English,PG-13,"Set in the 22nd century, when a battered salvage ship sends out a distress signal, the seasoned crew of the rescue hospital ship Nova-17 responds. What they find is a black hole--that threatens to destroy both ships--and a mysterious survivor whose body quickly mutates into a monstrous and deadly form.",https://movielens.org/movies/3190
234,Exit to Eden,1994,Comedy,Garry Marshall,"Dana Delany,Paul Mercurio,Rosie O'Donnell,Dan Aykroyd,Hector Elizondo",114 minutes,English,R,"Photographer Elliot Slater has inadvertently snapped the only existing photos of elusive jewel thief Omar. When Elliot leaves for a private vacation on an S&M island, he is followed by Omar; Omar's partner, Nina; and police officers Fred and Sheila. Unaware of the number of people chasing him, Elliot enjoys his stay at the resort, and finds himself falling in love with head dominatrix Lisa.",https://movielens.org/movies/234
3012,Battling Butler,1926,Comedy,Buster Keaton,"Buster Keaton,Snitz Edwards,Sally O'Neil,Walter James,Budd Fine",77 minutes,No Language,,A meek millionaire masquerades as a boxing star to win a girl's heart.,https://movielens.org/movies/3012
2341,Dancing at Lughnasa,1998,Drama,Pat O'Connor,"Meryl Streep,Catherine McCormack,Brid Brennan,Kathy Burke,Sophie Thompson",96 minutes,English,PG,Five unmarried sisters make the most of their simple existence in rural Ireland in the 1930s.,https://movielens.org/movies/2341
1466,Donnie Brasco,1997,Crime|Drama,Mike Newell,"Johnny Depp,Al Pacino,Michael Madsen,Bruno Kirby,James Russo",127 minutes,"日本語,English,Italiano",R,An FBI undercover agent infiltrates the mob and identifies more with the mafia life at the expense of his regular one.,https://movielens.org/movies/1466
2973,Crimes and Misdemeanors,1989,Comedy,Woody Allen,"Woody Allen,Martin Landau,Mia Farrow,Alan Alda,Anjelica Huston",104 minutes,English,PG-13,"An ophthalmologist's mistress threatens to reveal their affair to his wife, while a married documentary filmmaker is infatuated by another woman.",https://movielens.org/movies/2973
2088,Popeye,1980,Adventure|Comedy|Musical,Robert Altman,"Robin Williams,Shelley Duvall,Ray Walston,Paul Dooley,Paul L. Smith",114 minutes,English,PG,"Popeye is a super-strong, spinach-scarfing sailor man who's searching for his father. During a storm that wrecks his ship, Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive. Before he can win her heart, he must first contend with Olive's fiancé, Bluto.",https://movielens.org/movies/2088
3127,Holy Smoke,1999,Drama,Jane Campion,"Kate Winslet,Harvey Keitel,Julie Hamilton,Sophie Lee,Dan Wyllie",115 minutes,"English,हिन्दी",R,"While on a journey of discovery in exotic India, beautiful young Ruth Barron falls under the influence of a charismatic religious guru. Her desperate parents then hire PJ Waters, a macho cult de-programmer who confronts Ruth in a remote desert hideaway. But PJ quickly learns that he's met his match in the sexy, intelligent and iron-willed Ruth.",https://movielens.org/movies/3127
2483,"Day of the Beast, The (El día de la bestia)",1995,Comedy|Horror|Thriller,Álex de la Iglesia,"Álex Angulo,Armando De Razza,Santiago Segura,Terele Pávez,Nathalie Seseña",103 minutes,"Italiano,Español",R,"The story revolves around a Basque Roman Catholic priest dedicated to committing as many sins as possible, a death metal salesman from Carabanchel, and the Italian host of a TV show on the occult. These go on a literal ""trip"" through Christmas-time Madrid to hunt for and prevent the reincarnation of the Antichrist.",https://movielens.org/movies/2483
3628,Flying Tigers,1942,Action|Drama|War,David Miller,"John Wayne,John Carroll,Anna Lee,Paul Kelly,Gordon Jones",102 minutes,English,NR,"Jim Gordon commands a unit of the famed Flying Tigers, the American Volunteer Group which fought the Japanese in China before America's entry into World War II. Gordon must send his outnumbered band of fighter pilots out against overwhelming odds while juggling the disparate personalities and problems of his fellow flyers.",https://movielens.org/movies/3628
1740,Men of Means,1999,Action|Drama,George Mendeluk,"Michael Paré,Kaela Dobkin,Austin Pendleton,Tony Cucci,Todd Baker",80 minutes,English,,"In a world where two men in close proximity will eventually draw guns, Rico ""BULLET"" Burke finds himself at a crossroads. Having long ago ruined his brilliant collegiate football career through his own folly, Rico must now decide whether to continue in complacent servitude as the collection muscle for a vicious Brooklyn mobster, or to put behind him the vagaries of his youth and look for that window of opportunity that will provide a better life for him and his wholly dependant brother Joey.",https://movielens.org/movies/1740
1115,Sleepover,2012,Comedy|Drama,Chris Cullari,"Josh Feldman,Gus Kamp,Carolyn Jania,Kristine Blackburn,Walker Davis",6 minutes,English,,"The town of Derry has a secret, but no one told the new kid. It's gonna be a long night.",https://movielens.org/movies/1115
1420,Message to Love: The Isle of Wight Festival,1996,Documentary,Murray Lerner,"Jimi Hendrix,Paul Rodgers,John Sebastian,Donovan,Graeme Edge",127 minutes,English,,"In August 1970, 600,000 fans flocked to the Isle of Wight to witness the third and final festival to be held on the island. Besides the music, they also got a look at the greed, cynicism and corruption that would plague the music industry for years to come. They also witnessed the final, drugged out performance of Jimi Hendrix in England just two weeks before he would meet a tragic death. When it all was over, the fans view of rock and roll was never the same.",https://movielens.org/movies/1420
3150,"War Zone, The",1999,Drama,Tim Roth,"Ray Winstone,Tilda Swinton,Lara Belmont,Colin Farrell,Freddie Cunliffe",98 minutes,English,R,"An alienated teenager, saddened that he has moved away from London, must find a way to deal with a dark family secret.",https://movielens.org/movies/3150
3430,Death Wish,1974,Action|Drama,Michael Winner,"Charles Bronson,Hope Lange,Vincent Gardenia,Steven Keats,William Redfield",93 minutes,"Français,English,Italiano,Deutsch",R,"After his wife is murdered by street punks, a pacifistic New York City architect becomes a one-man vigilante squad, prowling the streets for would-be muggers after dark.",https://movielens.org/movies/3430
1829,Chinese Box,1997,Drama|Romance,Wayne Wang,"Jeremy Irons,Gong Li,Maggie Cheung,Michael Hui,Rubén Blades",99 minutes,"English,普通话,广州话 / 廣州話",R,"The story of Hong Kong, from New Year's Day to June 30th, 1997, when the British left their colony and turned it over to the People's Republic of China.",https://movielens.org/movies/1829
3041,Meatballs Part II,1984,Comedy,Ken Wiederhorn,"Richard Mulligan,Kim Richards,John Larroquette,Paul Reubens,Archie Hahn",87 minutes,English,PG,"The second in-name-only sequel to the first Meatballs summer camp movie sets us at Camp Sasquash where the owner Giddy tries to keep his camp open after it's threatened with foreclosure after Hershey, the militant owner of Camp Patton located just across the lake, wants to buy the entire lake area to expand Camp Patton. Giddy suggests settling the issue with the traditional end-of-the-summer boxing match over rights to the lake. Meanwhile, a tough, inner city punk, nicknamed Flash, is at Camp Sasquash for community service as a counselor-in-training where he sets his sights on the naive and intellectual Cheryl, while Flash's young charges befriend an alien, whom they name Meathead, also staying at the camp for the summer.",https://movielens.org/movies/3041
1979,Friday the 13th Part VI: Jason Lives,1986,Horror,Tom McLoughlin,"Thom Mathews,Jennifer Cooke,Darcy DeMoss,Ann Ryerson,Renée Jones",86 minutes,English,R,"Tommy Jarvis, tormented by the fear that Jason Voorhees isn't really dead, unwittingly resurrects the mass murderer for another bloody rampage.",https://movielens.org/movies/1979
67,Two Bits,1995,Drama,James Foley,"Jerry Barone,Al Pacino,Mary Elizabeth Mastrantonio,Joe Grifasi,Geoff Pierson",85 minutes,English,,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",https://movielens.org/movies/67
1862,Species II,1998,Horror|Sci-Fi,Peter Medak,"Michael Madsen,Natasha Henstridge,Marg Helgenberger,Mykelti Williamson,George Dzundza",93 minutes,English,R,"Having just returned from a mission to Mars, Commander Ross isn't exactly himself. He's slowly becoming a terrifying alien entity with one goal -- to procreate with human women! When countless women suffer gruesome deaths after bearing half-alien offspring, scientist Laura Baker and hired assassin Press Lennox use Eve, a more tempered alien clone, to find Ross and his brood. Before long Eve escapes to mate with Ross.",https://movielens.org/movies/1862
2213,Waltzes from Vienna,1934,Comedy|Musical,Alfred Hitchcock,"Edmund Gwenn,Esmond Knight,Jessie Matthews,Fay Compton,Frank Vosper",81 minutes,English,,"Johann Strauss Jr. is forced by his father to forget music and to work in a bakery, where he falls in love with Resi, the baker's daughter. The girl gets jealous when a contessa asks Strauss Jr. to write a waltz for her.",https://movielens.org/movies/2213
3364,"Asphalt Jungle, The",1950,Crime|Film-Noir,John Huston,"Sterling Hayden,Louis Calhern,Sam Jaffe,Jean Hagen,James Whitmore",112 minutes,"English,Deutsch",NR,"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.",https://movielens.org/movies/3364
177,Lord of Illusions,1995,Horror,Clive Barker,"Scott Bakula,Kevin J. O'Connor,Famke Janssen,Joel Swetow,Daniel von Bargen",119 minutes,English,R,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier.",https://movielens.org/movies/177
910,Some Like It Hot,1959,Comedy|Crime,Billy Wilder,"Tony Curtis,Jack Lemmon,Marilyn Monroe,George Raft,Pat O'Brien",122 minutes,English,NR,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",https://movielens.org/movies/910
1144,"Line King: Al Hirschfeld, The",1996,Documentary,Susan W. Dryfoos,"Al Hirschfeld,Lauren Bacall,Carol Channing,Julie Andrews,Joan Collins",86 minutes,,,"The childhood, adolescence, and incredible adult years of Al Hirschfeld, celebrated creator of thousands of line drawings of famous people - many in the entertainment industry - over a span of more than sixty years. He is still drawing in his nineties. His interesting domestic life, political, and cultural views are highlights. In addition, he talks about himself a bit - seriously and lightly.(At one point he he claims that his only form of exercise has been to live in his Manhattan townhouse: stairs). He drives his car around Manhattan - an adventure in itself. Brief interviews with, and reminiscences of many friends and associates.",https://movielens.org/movies/1144
242,Farinelli: il castrato,1994,Drama|Musical,Gérard Corbiau,"Stefano Dionisi,Enrico Lo Verso,Elsa Zylberstein,Jeroen Krabbé,Caroline Cellier",111 minutes,"English,Français,Italiano",,"The life and career of Italian opera singer Farinelli, considered one of the greatest castrato singers of all time.",https://movielens.org/movies/242
1280,Raise the Red Lantern,1991,Drama,Zhang Yimou,"Gong Li,Ma Jingwu,He Saifei,Cao Cuifen,Kong Lin",125 minutes,普通话,,"China in the 1920s. After her father's death, 19 year old Songlian is forced to marry the much older lord of a powerful family. With three wives already, each living in a separate house within the great castle, there is fierce competition for his attention and the privileges that are gained. This competition gets out of hand.",https://movielens.org/movies/1280
5,Father of the Bride Part II,1995,Comedy,Charles Shyer,"Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern",106 minutes,English,PG,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",https://movielens.org/movies/5
2672,"Thirteenth Floor, The",1999,Drama|Sci-Fi|Thriller,Josef Rusnak,"Craig Bierko,Armin Mueller-Stahl,Gretchen Mol,Vincent D'Onofrio,Dennis Haysbert",101 minutes,English,R,"Los Angeles. A wealthy man, known as Mr. Fuller, discovers a shocking secret about the world he lives in. Fearing for his life, he leaves a desperate message for a friend of his in the most unexpected place.",https://movielens.org/movies/2672
1111,Microcosmos (Microcosmos: Le peuple de l'herbe),1996,Documentary,"Claude Nuridsany,Marie Pérennou","Jacques Perrin,Kristin Scott Thomas",80 minutes,"English,Français",G,"A documentary of insect life in meadows and ponds, using incredible close-ups, slow motion, and time-lapse photography. It includes bees collecting nectar, ladybugs eating mites, snails mating, spiders wrapping their catch, a scarab beetle relentlessly pushing its ball of dung uphill, endless lines of caterpillars, an underwater spider creating an air bubble to live in, and a mosquito hatching.",https://movielens.org/movies/1111
1073,Willy Wonka and the Chocolate Factory,1971,Adventure|Children's|Comedy|Fantasy,Mel Stuart,"Gene Wilder,Peter Ostrum,Jack Albertson,Roy Kinnear,Julie Dawn Cole",99 minutes,"Français,English,Italiano,Deutsch",G,"When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.",https://movielens.org/movies/1073
713,Of Love and Shadows,1994,Drama,Betty Kaplan,"Jennifer Connelly,Antonio Banderas,Stefania Sandrelli,Diego Wallraff,Camilo Gallardo",103 minutes,"English,Español",R,"Irene is a magazine editor living under the shadow of the Pinochet dictatorship in Chile. Francisco is a handsome photographer and he comes to Irene for a job. As a sympathizer with the underground resistance movement, Francisco opens her eyes and her heart to the atrocities being committed by the state.",https://movielens.org/movies/713
626,"Thin Line Between Love and Hate, A",1996,Comedy,Martin Lawrence,"Lynn Whitfield,Martin Lawrence,Regina King,Della Reese,Bobby Brown",108 minutes,English,R,"Nightclub manager Darnell Wright is a perpetual playboy who is almost as devoted to his job as he is to the pursuit of beautiful women. After he sets his sights on the ultra-classy Brandi Web, he launches an all-out assault to win her heart. Ultimately, charm, lust and passion prevail, but Darnell learns the hard way that when you play, you pay. Brandi is much harder to get rid of than she was to get--especially when she realizes that she has a rival vying for Darnell's affection. When he finally decides to call it quits, Brandi becomes an obsessed femme fatale stalking the new love of her life.",https://movielens.org/movies/626
2365,King Kong vs. Godzilla (Kingukongu tai Gojira),1962,Action|Sci-Fi,Ishirō Honda,"Tadao Takashima,Kenji Sahara,Yū Fujiki,Ichirō Arishima,Jun Tazaki",97 minutes,"日本語,English",NR,"The advertising director of Pacific Pharmaceuticals, frustrated with the low ratings of their sponsored TV program, seeks a more sensationalist approach. He orders his staff to Faro Island to capture King Kong for exploitation. As Godzilla re-emerges, a media frenzy generates with Pacific looking to capitalize off of the ultimate battle.",https://movielens.org/movies/2365
3670,"Story of G.I. Joe, The",1945,War,William A. Wellman,"Burgess Meredith,Robert Mitchum,Freddie Steele,Wally Cassell,Jimmy Lloyd",108 minutes,"Italiano,English",,"War correspondent Ernie Pyle joins Company C, 18th Infantry as this American army unit fights its way across North Africa in World War II. He comes to know the soldiers and finds much human interest material for his readers back in the States.",https://movielens.org/movies/3670
1233,"Boat, The (Das Boot)",1981,Action|Drama|War,Wolfgang Petersen,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge",150 minutes,"Deutsch,English,Français",R,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",https://movielens.org/movies/1233
